# RUN PARAMETERS: 
# --------------- 
# /home/jchai/.local/bin/run_fishtaco.py {'single_function_filter': None, 'permutation_mode': 'blocks', 'case_label': '1', 'multiple_hypothesis_correction': 'FDR-0.05', 'da_result_file': None, 'write_log': True, 'taxa_to_function_file': None, 'output_pref': 'fishtaco_out', 'map_function_level': 'none', 'max_da_functions_cases_controls': None, 'taxa_abun_file': 'otu_table_l6.txt', 'normalization_mode': 'scale_permuted', 'apply_inference': True, 'residual_mode': 'remove_residual', 'taxa_assessment_method': 'single_taxa', 'functional_profile_already_corrected_with_musicc': True, 'function_abun_file': 'l3_relative.txt', 'na_rep': 'NA', 'number_of_shapley_orderings_per_taxa': '5', 'perform_inference_on_ko_level': False, 'class_file': 'SampleLable.txt', 'map_function_file': None, 'score_to_compute': 'wilcoxon', 'control_label': '0', 'number_of_permutations': '100', 'max_score_cutoff': '100', 'multi_function_filter_list': None}
#
# LEGEND: 
# ------- 
# a:case-associated and driving case-enrichment; 
# b:case-associated and attenuating case-enrichment; 
# c:control-associated and driving case-enrichment; 
# d:control-associated and attenuating case-enrichment; 
#
# TAXON-LEVEL CONTRIBUTION VALUES: 
# -------------------------------- 
#
Taxa	ABC_transporters	Arachidonic_acid_metabolism	Bacterial_chemotaxis	Bacterial_motility_proteins	Biosynthesis_of_siderophore_group_nonribosomal_peptides	Biosynthesis_of_unsaturated_fatty_acids	Bisphenol_degradation	Carbohydrate_digestion_and_absorption	Carbohydrate_metabolism	Cysteine_and_methionine_metabolism	DNA_repair_and_recombination_proteins	Ethylbenzene_degradation	Flavone_and_flavonol_biosynthesis	Glutathione_metabolism	Glycosyltransferases	Glyoxylate_and_dicarboxylate_metabolism	Insulin_signaling_pathway	Lipid_metabolism	Meiosis___yeast	Nitrogen_metabolism	Other_ion_coupled_transporters	Others	Pathways_in_cancer	Pentose_and_glucuronate_interconversions	Peptidoglycan_biosynthesis	Plant_pathogen_interaction	Porphyrin_and_chlorophyll_metabolism	Renal_cell_carcinoma	Retinol_metabolism	Selenocompound_metabolism	Signal_transduction_mechanisms	Sulfur_metabolism	Transcription_factors	Transcription_machinery	Transporters	Vibrio_cholerae_pathogenic_cycle	Zeatin_biosynthesis
OTU219_Bacteroidetes_unclassified	c:0.0176140969186	d:0.0	c:0.00480384461415	c:0.00480384461415	c:0.00800640769025	c:0.00160128153805	d:0.0	d:0.0	d:0.0	c:0.00160128153805	c:0.0208166599947	c:0.0032025630761	d:0.0	c:0.0064051261522	c:0.0128102523044	c:0.0112089707664	d:0.0	c:0.0224179415327	d:0.0	c:0.0256205046088	c:0.0160128153805	c:0.0208166599947	c:0.0512410092176	d:0.0	c:0.0592474169079	d:0.0	c:0.0144115338425	d:0.0	c:0.00480384461415	c:0.0032025630761	c:0.00960768922831	c:0.0224179415327	d:0.0	d:0.0	d:0.0	c:0.0032025630761	d:0.0
OTU21_Prevotella	b:-0.0144115338425	b:-0.0064051261522	b:-0.0112089707664	b:-0.00480384461415	b:-0.00480384461415	b:0.0	b:-0.0224179415327	b:-0.00800640769025	b:0.0	b:-0.0160128153805	a:0.00160128153805	b:-0.0112089707664	b:0.0	b:-0.0176140969186	b:-0.0272217861469	b:-0.032025630761	b:0.0	b:-0.0160128153805	b:0.0	b:-0.0240192230708	b:-0.0224179415327	b:-0.0400320384513	b:-0.0400320384513	b:0.0	b:-0.0416333199893	b:0.0	b:-0.0192153784566	b:0.0	b:-0.00800640769025	b:-0.0064051261522	b:-0.0176140969186	b:-0.0272217861469	b:-0.0064051261522	b:-0.0128102523044	b:-0.0112089707664	b:-0.00800640769025	b:-0.0192153784566
OTU220_Prevotella	b:-0.0224179415327	b:0.0	b:-0.0128102523044	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:-0.0112089707664	b:-0.0288230676849	b:0.0	b:0.0	b:0.0	b:-0.00960768922831	b:0.0	b:0.0	b:-0.0208166599947	b:0.0	b:-0.0032025630761	b:0.0	b:-0.0336269122991	b:-0.030424349223	b:0.0	b:-0.0400320384513	b:0.0	b:-0.00960768922831	b:0.0	b:0.0	b:-0.00960768922831	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0
OTU221_Pseudobutyrivibrio	b:-0.032025630761	b:0.0	b:-0.00800640769025	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:-0.0032025630761	b:-0.0352281938371	b:0.0	b:0.0	b:0.0	b:-0.0208166599947	b:0.0	b:0.0	b:-0.0128102523044	b:0.0	b:-0.0160128153805	b:0.0	b:-0.030424349223	b:-0.0384307569132	b:0.0	b:-0.0384307569132	b:0.0	b:-0.00800640769025	b:0.0	b:0.0	b:-0.0240192230708	b:0.0	b:-0.00800640769025	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0
OTU222_Firmicutes_unclassified	c:0.0256205046088	d:0.0	c:0.0240192230708	c:0.0224179415327	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	c:0.0256205046088	d:0.0	d:0.0	c:0.0144115338425	d:0.0	c:0.0224179415327	d:0.0	c:0.0224179415327	d:0.0	c:0.0336269122991	d:0.0	c:0.0176140969186	c:0.0192153784566	d:0.0	c:0.0448358830654	d:0.0	c:0.0240192230708	d:0.0	d:0.0	d:0.0	d:0.0	c:0.032025630761	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0
OTU223_Ruminococcaceae_unclassified	c:0.0112089707664	d:0.0	d:0.0	d:0.0	d:0.0	c:0.0208166599947	d:0.0	d:0.0	d:0.0	c:0.00480384461415	c:0.00800640769025	d:0.0	d:0.0	c:0.0112089707664	c:0.0240192230708	c:0.00160128153805	d:0.0	c:0.0208166599947	d:0.0	c:0.0400320384513	c:0.0112089707664	c:0.00160128153805	c:0.0288230676849	d:0.0	c:0.0176140969186	d:0.0	c:0.00800640769025	d:0.0	d:0.0	c:0.00800640769025	c:0.0064051261522	c:0.0160128153805	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0
OTU224_Prevotella	b:-0.00960768922831	b:0.0	b:-0.00800640769025	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:-0.0064051261522	b:0.0	b:0.0	b:-0.0224179415327	b:-0.00480384461415	b:0.0	b:0.0	b:-0.0064051261522	b:0.0	b:-0.0064051261522	b:0.0	b:-0.0368294753752	b:-0.0064051261522	b:0.0	b:-0.00960768922831	b:0.0	b:-0.00480384461415	b:0.0	b:0.0	b:0.0	b:0.0	b:-0.00160128153805	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0
OTU225_Spirochaetaceae_unclassified	b:-0.00160128153805	b:0.0	b:-0.00960768922831	b:0.0	b:-0.00800640769025	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:-0.00960768922831	b:-0.0064051261522	b:0.0	b:0.0	b:-0.0160128153805	b:0.0	b:-0.00800640769025	b:-0.00800640769025	b:-0.00800640769025	b:-0.0144115338425	b:0.0	b:-0.0256205046088	b:0.0	b:-0.0240192230708	b:0.0	b:0.0	b:0.0	b:0.0	b:-0.00480384461415	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0
OTU226_Prevotella	c:0.0112089707664	d:0.0	c:0.0160128153805	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	c:0.00800640769025	d:0.0	d:0.0	c:0.0176140969186	c:0.0256205046088	d:0.0	d:0.0	c:0.0160128153805	d:0.0	c:0.0368294753752	c:0.0144115338425	d:-0.00480384461415	c:0.0160128153805	d:0.0	c:0.0192153784566	d:0.0	c:0.0160128153805	d:0.0	d:0.0	c:0.0160128153805	d:0.0	c:0.0128102523044	d:0.0	d:0.0	d:0.0	c:0.0128102523044	d:0.0
OTU227_Prevotella	b:-0.0064051261522	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:-0.0032025630761	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:-0.0208166599947	b:-0.0112089707664	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:-0.0064051261522	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0
OTU228_Subdivision3_genera_incertae_sedis	c:0.0288230676849	d:0.0	c:0.0288230676849	c:0.0176140969186	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	c:0.0176140969186	d:0.0	d:0.0	c:0.0112089707664	c:0.0176140969186	c:0.0176140969186	d:0.0	c:0.030424349223	d:0.0	c:0.0688551061362	c:0.00800640769025	c:0.0032025630761	c:0.032025630761	d:0.0	c:0.0496397276796	d:0.0	d:0.0	d:0.0	d:0.0	c:0.00480384461415	d:0.0	c:0.0128102523044	d:0.0	d:0.0	d:0.0	c:0.0064051261522	d:0.0
OTU229_Bacteroidetes_unclassified	b:-0.0032025630761	b:0.0	b:-0.00800640769025	b:-0.00800640769025	b:-0.00960768922831	b:-0.00960768922831	b:0.0	b:0.0	b:0.0	b:-0.0352281938371	b:-0.0224179415327	b:-0.0064051261522	b:0.0	b:-0.0064051261522	b:-0.0032025630761	b:0.0	b:0.0	b:-0.0208166599947	b:0.0	b:-0.0160128153805	b:-0.0160128153805	a:5.55111512313e-19	b:-0.0240192230708	b:0.0	b:-0.0192153784566	b:0.0	b:-0.0032025630761	b:0.0	b:-0.0064051261522	b:-0.00800640769025	a:2.77555756156e-18	b:-0.00960768922831	b:0.0	b:-0.00960768922831	b:-0.00800640769025	b:-0.0208166599947	b:0.0
OTU22_Succiniclasticum	b:-0.198558910718	b:-0.0384307569132	b:-0.064051261522	b:-0.0496397276796	b:-0.0272217861469	b:-0.0288230676849	b:-0.144115338425	b:-0.0240192230708	b:-0.0224179415327	b:-0.144115338425	b:-0.094475610745	b:-0.105684581511	b:0.0	b:-0.0960768922831	b:-0.121697396892	b:-0.192153784566	b:-0.0128102523044	b:-0.11529227074	b:-0.0256205046088	b:-0.156925590729	b:-0.174539687648	b:-0.0880704845928	b:-0.203362755332	b:-0.0480384461415	b:-0.169735843033	b:-0.0992794553592	b:-0.144115338425	b:-0.0160128153805	b:-0.0240192230708	b:-0.0656525430601	b:-0.0992794553592	b:-0.0704563876742	b:-0.094475610745	b:-0.121697396892	b:-0.126501241506	b:-0.0880704845928	b:-0.110488426126
OTU230_Bacteroidetes_unclassified	b:-0.0192153784566	b:0.0	b:-0.00480384461415	b:-0.00480384461415	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:-0.0336269122991	b:-0.0288230676849	b:0.0	b:0.0	b:-0.0128102523044	b:-0.0128102523044	b:-0.0144115338425	b:0.0	b:-0.00800640769025	b:0.0	b:-0.0112089707664	b:-0.0192153784566	b:-0.0352281938371	b:-0.0176140969186	b:0.0	b:-0.0224179415327	b:0.0	b:-0.0160128153805	b:0.0	b:0.0	b:-0.00800640769025	b:-0.00480384461415	b:0.0	b:0.0	b:0.0	b:0.0	b:-0.0112089707664	b:0.0
OTU231_Spirochaetaceae_unclassified	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:-0.00480384461415	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:-0.0160128153805	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:-0.00800640769025	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0
OTU232_Lachnospiraceae_unclassified	c:0.0112089707664	d:0.0	c:0.00480384461415	c:0.00480384461415	c:0.00800640769025	c:0.00160128153805	c:0.00480384461415	d:0.0	d:0.0	c:0.00960768922831	c:0.0208166599947	c:0.00960768922831	d:0.0	c:0.0064051261522	c:0.0272217861469	c:0.0112089707664	d:0.0	c:0.0224179415327	d:0.0	c:0.0256205046088	c:0.0176140969186	c:0.0160128153805	c:0.0192153784566	d:0.0	c:0.0288230676849	d:0.0	c:0.0144115338425	d:0.0	c:0.0144115338425	c:0.0032025630761	c:0.00960768922831	c:0.0144115338425	c:0.0112089707664	d:0.0	c:0.00800640769025	c:0.0032025630761	d:0.0
OTU233_Lachnospiraceae_unclassified	c:0.0128102523044	d:0.0	c:0.0064051261522	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	c:0.00480384461415	d:0.0	d:0.0	d:0.0	c:0.0064051261522	d:0.0	d:0.0	d:0.0	d:0.0	c:0.0128102523044	d:0.0	d:-0.00160128153805	d:0.0	d:0.0	d:0.0	d:0.0	c:0.0032025630761	d:0.0	d:0.0	d:0.0	d:0.0	c:0.00960768922831	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0
OTU234_Bacteroidetes_unclassified	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0
OTU235_Selenomonas	b:-0.0112089707664	b:0.0	b:-0.0176140969186	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:-0.00960768922831	b:-0.0112089707664	b:0.0	b:0.0	b:-0.0144115338425	b:0.0	b:-0.0144115338425	b:-0.00800640769025	b:-0.0256205046088	b:-0.0160128153805	b:0.0	b:-0.0176140969186	b:0.0	b:-0.0288230676849	b:0.0	b:0.0	b:0.0	b:0.0	b:-0.0064051261522	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0
OTU236_Bacteria_unclassified	d:0.0	d:0.0	d:-0.00800640769025	d:-0.00800640769025	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:-0.0192153784566	d:-0.0224179415327	d:0.0	d:0.0	d:-0.0064051261522	d:-0.0128102523044	d:0.0	d:0.0	d:-0.0064051261522	d:0.0	d:-0.0032025630761	d:-0.00480384461415	c:5.55111512313e-19	d:-0.0240192230708	d:0.0	d:-0.0256205046088	d:0.0	d:-0.0112089707664	d:0.0	d:0.0	d:-0.00800640769025	c:0.0032025630761	d:-0.00960768922831	d:0.0	d:0.0	d:0.0	d:-0.0208166599947	d:0.0
OTU237_Prevotella	b:-0.00960768922831	b:0.0	b:-0.00800640769025	b:-0.00800640769025	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:-0.00960768922831	b:0.0	b:0.0	b:-0.0160128153805	b:-0.00480384461415	b:0.0	b:0.0	b:-0.0064051261522	b:0.0	b:-0.0064051261522	b:-0.00960768922831	b:-0.0256205046088	b:-0.00960768922831	b:0.0	b:-0.00960768922831	b:0.0	b:-0.00480384461415	b:0.0	b:0.0	b:-0.0064051261522	b:0.0	b:-0.00160128153805	b:-0.0064051261522	b:0.0	b:0.0	b:-0.0064051261522	b:0.0
OTU238_Bacteroidetes_unclassified	c:0.0176140969186	d:0.0	d:0.0	d:0.0	d:0.0	c:0.0112089707664	d:0.0	d:0.0	d:0.0	d:0.0	c:0.0192153784566	d:0.0	d:0.0	c:0.0112089707664	c:0.032025630761	d:0.0	d:0.0	c:0.0112089707664	d:0.0	c:0.0464371646035	c:0.00160128153805	c:0.00160128153805	c:0.0128102523044	d:0.0	c:0.0432346015274	d:0.0	d:0.0	d:0.0	d:0.0	c:0.00800640769025	d:0.0	c:0.0160128153805	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0
OTU239_Bacteroidales_unclassified	b:-0.0208166599947	b:0.0	b:-0.00480384461415	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:-0.0384307569132	b:0.0	b:0.0	b:-0.00960768922831	b:-0.0144115338425	b:0.0	b:0.0	b:-0.0032025630761	b:0.0	b:0.0	b:0.0	b:-0.0400320384513	b:-0.0352281938371	b:0.0	b:-0.0272217861469	b:0.0	b:-0.00800640769025	b:0.0	b:0.0	b:0.0	b:0.0	b:-0.0064051261522	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0
OTU23_Spirochaetaceae_unclassified	b:-0.0416333199893	b:-0.0112089707664	b:-0.0192153784566	b:-0.0176140969186	b:-0.0064051261522	b:-0.0224179415327	b:-0.0752602322884	b:-0.0144115338425	b:0.0	b:-0.0192153784566	b:-0.0240192230708	b:-0.0240192230708	b:0.0	b:-0.0128102523044	b:-0.030424349223	b:-0.0496397276796	b:0.0	b:-0.0528422907557	b:-0.00480384461415	b:-0.0064051261522	b:-0.0448358830654	b:-0.0272217861469	b:-0.064051261522	b:0.0	b:-0.0496397276796	b:-0.0128102523044	b:-0.0560448538318	b:0.0	b:-0.0176140969186	b:-0.0368294753752	b:-0.0464371646035	a:0.00160128153805	b:-0.0176140969186	b:-0.0256205046088	b:-0.0176140969186	b:-0.00960768922831	b:-0.0352281938371
OTU240_Desulfovibrionaceae_unclassified	b:-0.0160128153805	b:0.0	b:-0.00800640769025	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:-0.0128102523044	b:0.0	b:0.0	b:0.0	b:-0.00800640769025	b:0.0	b:0.0	b:-0.0128102523044	b:0.0	b:-0.0160128153805	b:0.0	b:-0.0336269122991	b:-0.0128102523044	b:0.0	b:-0.00800640769025	b:0.0	b:-0.0064051261522	b:0.0	b:0.0	b:-0.00160128153805	b:0.0	b:-0.00960768922831	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0
OTU241_Prevotella	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0
OTU242_Lachnospiraceae_unclassified	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:-0.0032025630761	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:-0.0112089707664	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0
OTU243_Schwartzia	b:-0.00960768922831	b:0.0	b:-0.00800640769025	b:-0.00800640769025	b:-0.00480384461415	b:0.0	b:0.0	b:0.0	b:0.0	b:-0.0176140969186	b:-0.00960768922831	b:0.0	b:0.0	b:-0.0160128153805	b:-0.00960768922831	b:-0.00960768922831	b:0.0	b:-0.0112089707664	b:0.0	b:-0.0128102523044	b:-0.0144115338425	b:-0.0240192230708	b:-0.00960768922831	b:0.0	b:-0.00960768922831	b:0.0	b:-0.00800640769025	b:0.0	b:0.0	b:-0.0064051261522	b:-0.00960768922831	b:-0.00160128153805	b:-0.0064051261522	b:0.0	b:0.0	b:-0.0064051261522	b:0.0
OTU244_Prevotellaceae_unclassified	b:-0.00160128153805	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:-0.00960768922831	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:-0.0256205046088	b:-0.0064051261522	b:0.0	a:0.0032025630761	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:-5.55111512313e-19	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0
OTU245_Clostridiales_unclassified	c:0.0336269122991	d:0.0	c:0.0160128153805	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	c:0.0112089707664	d:0.0	d:0.0	c:0.0032025630761	c:0.0400320384513	d:0.0	d:0.0	d:0.0	d:0.0	c:0.0240192230708	d:0.0	c:0.0288230676849	d:0.0	d:0.0	c:0.0496397276796	d:0.0	c:0.0400320384513	d:0.0	d:0.0	d:0.0	d:0.0	c:0.0384307569132	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0
OTU246_Bacteroidetes_unclassified	c:0.032025630761	d:0.0	c:0.00800640769025	c:0.0032025630761	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	c:0.0144115338425	d:0.0	d:0.0	c:0.00800640769025	c:0.00480384461415	d:0.0	d:0.0	c:0.00800640769025	d:0.0	c:0.0400320384513	c:0.00800640769025	d:-0.00480384461415	d:-0.00480384461415	d:0.0	c:0.0224179415327	d:0.0	d:0.0	d:0.0	d:0.0	c:0.00480384461415	d:0.0	c:0.0128102523044	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0
OTU247_Desulfovibrio	c:0.0176140969186	d:0.0	c:0.0144115338425	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	c:0.0064051261522	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	c:0.0192153784566	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0
OTU248_Desulfovibrionaceae_unclassified	c:0.0240192230708	d:0.0	c:0.00480384461415	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	c:0.0240192230708	d:0.0	d:0.0	c:0.00480384461415	c:0.0064051261522	c:0.0272217861469	d:0.0	c:0.0224179415327	d:0.0	c:0.0192153784566	d:0.0	c:0.0064051261522	c:0.0288230676849	d:0.0	c:0.0272217861469	d:0.0	c:0.0400320384513	d:0.0	d:0.0	d:0.0	d:0.0	c:0.0224179415327	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0
OTU249_Bacteroides	c:0.0224179415327	d:0.0	c:0.00480384461415	c:0.00480384461415	c:0.00960768922831	d:0.0	d:0.0	d:0.0	d:0.0	c:0.0288230676849	c:0.0176140969186	d:0.0	d:0.0	c:0.00480384461415	c:0.030424349223	c:0.0144115338425	d:0.0	c:0.0192153784566	d:0.0	c:0.0128102523044	c:0.0192153784566	d:0.0	c:0.0224179415327	d:0.0	c:0.00960768922831	d:0.0	c:0.0144115338425	d:0.0	d:0.0	c:0.0112089707664	c:0.00960768922831	c:0.0176140969186	d:0.0	d:0.0	d:0.0	c:0.00480384461415	d:0.0
OTU24_Cloacibacillus	c:0.156925590729	c:0.0544435722937	c:0.108887144587	c:0.0528422907557	c:0.0848679215167	c:0.113690989202	c:0.261008890702	c:0.032025630761	c:0.00480384461415	c:0.121697396892	c:0.23859094917	c:0.0688551061362	c:0.00480384461415	c:0.179343532262	c:0.225780696865	c:0.224179415327	c:0.0832666399786	c:0.150520464577	c:0.0288230676849	c:0.179343532262	c:0.265812735316	c:0.182546095338	c:0.212970444561	c:0.0832666399786	c:0.136108930734	c:0.104083299973	c:0.158526872267	c:0.0112089707664	c:0.0208166599947	c:0.169735843033	c:0.11529227074	c:0.0960768922831	c:0.0960768922831	c:0.137710212272	c:0.152121746115	c:0.0752602322884	c:0.0848679215167
OTU250_Prevotella	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0
OTU251_Bacteria_unclassified	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	c:0.0064051261522	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	c:0.0064051261522	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	c:0.00480384461415	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0
OTU252_Treponema	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0
OTU253_Prevotella	b:-0.0224179415327	b:0.0	b:-0.0128102523044	b:-0.00800640769025	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:-0.0128102523044	b:-0.032025630761	b:0.0	b:0.0	b:-0.0160128153805	b:-0.0144115338425	b:-0.00960768922831	b:0.0	b:-0.0144115338425	b:0.0	b:-0.0064051261522	b:-0.00960768922831	b:-0.0240192230708	b:-0.0192153784566	b:0.0	b:-0.0176140969186	b:0.0	b:-0.00800640769025	b:0.0	b:0.0	b:-0.0064051261522	b:0.0	b:-0.00160128153805	b:-0.0064051261522	b:0.0	b:0.0	b:-0.0064051261522	b:0.0
OTU254_Subdivision5_genera_incertae_sedis	c:0.0064051261522	d:0.0	c:0.00480384461415	c:0.00480384461415	c:0.00960768922831	d:0.0	d:0.0	d:0.0	d:0.0	c:0.0224179415327	c:0.0176140969186	d:0.0	d:0.0	c:0.00480384461415	c:0.0128102523044	c:0.0144115338425	d:0.0	c:0.0240192230708	d:0.0	c:0.0176140969186	c:0.0192153784566	d:0.0	c:0.0224179415327	d:0.0	c:0.00960768922831	d:0.0	c:0.0144115338425	d:0.0	d:0.0	c:0.0112089707664	c:0.00960768922831	c:0.00480384461415	d:0.0	d:0.0	d:0.0	c:0.00480384461415	d:0.0
OTU255_Comamonas	c:0.0272217861469	d:0.0	c:0.00800640769025	c:0.0032025630761	d:0.0	d:0.0	c:0.0064051261522	d:0.0	d:0.0	d:0.0	c:0.0112089707664	d:0.0	d:0.0	c:0.00800640769025	c:0.0240192230708	c:0.0112089707664	d:0.0	c:0.0400320384513	d:0.0	c:0.0432346015274	c:0.00800640769025	d:-0.00480384461415	c:0.0064051261522	d:0.0	c:0.0352281938371	d:0.0	d:0.0	d:0.0	d:0.0	c:0.00480384461415	d:0.0	c:0.0128102523044	d:0.0	d:0.0	d:0.0	c:0.0064051261522	d:0.0
OTU256_Prevotella	b:-0.00160128153805	b:0.0	b:-0.00960768922831	b:-0.00960768922831	a:0.0128102523044	b:0.0	b:0.0	b:0.0	b:0.0	b:-0.0112089707664	b:-0.0032025630761	b:0.0	b:0.0	b:-0.00960768922831	b:-0.0224179415327	b:-0.00160128153805	b:0.0	a:0.00480384461415	b:0.0	b:-0.0224179415327	a:0.0128102523044	b:-0.0112089707664	b:-0.0208166599947	b:0.0	b:-0.0256205046088	b:0.0	b:-0.0224179415327	b:0.0	b:0.0	b:-0.0064051261522	b:-0.00960768922831	b:-0.0160128153805	b:0.0	b:0.0	b:0.0	b:-0.0144115338425	b:0.0
